"";"ay_seq_input.1";"ay_seq_input.2";"ay_seq_input.3";"ay_seq_input.4";"ay_seq_input.5";"ay_seq_input.6";"ay_seq_input.7";"ay_seq_input.8";"ay_seq_input.9";"ay_seq_input.10";"ay_seq_input.11";"ay_seq_input.12";"ay_seq_input.13";"ay_seq_input.14";"ay_seq_input.15";"ay_seq_input.16";"ay_seq_input.17";"ay_seq_input.18";"group_code"
"1";-99;-99;-99;-99;-99;-99;-99;-99;0,0732451678535097;-99;-99;-99;-99;-99;-99;-99;-99;0,108850457782299;0
"2";-99;-99;-99;-99;-99;-99;-99;0,0732451678535097;0,0508646998982706;-99;-99;-99;-99;-99;-99;-99;0,108850457782299;0,0295015259409969;0
"3";-99;-99;-99;-99;-99;-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;-99;-99;-99;-99;-99;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0
"4";-99;-99;-99;-99;-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;-99;-99;-99;-99;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0
"5";-99;-99;-99;-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;-99;-99;-99;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0
"6";-99;-99;-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;-99;-99;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0
"7";-99;-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;-99;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0
"8";-99;0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;-99;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0
"9";0,0732451678535097;0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0,108850457782299;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0
"10";-99;-99;-99;-99;-99;-99;-99;-99;0,118466898954704;-99;-99;-99;-99;-99;-99;-99;-99;0,123693379790941;0
"11";-99;-99;-99;-99;-99;-99;-99;0,118466898954704;0,10801393728223;-99;-99;-99;-99;-99;-99;-99;0,123693379790941;0,0696864111498258;0
"12";-99;-99;-99;-99;-99;-99;0,118466898954704;0,10801393728223;0,0331010452961672;-99;-99;-99;-99;-99;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0
"13";-99;-99;-99;-99;-99;0,118466898954704;0,10801393728223;0,0331010452961672;0,0400696864111498;-99;-99;-99;-99;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0,0592334494773519;0
"14";-99;-99;-99;-99;0,118466898954704;0,10801393728223;0,0331010452961672;0,0400696864111498;0,0818815331010453;-99;-99;-99;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0,0592334494773519;0,0261324041811847;0
"15";-99;-99;-99;0,118466898954704;0,10801393728223;0,0331010452961672;0,0400696864111498;0,0818815331010453;0,0139372822299652;-99;-99;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0,0592334494773519;0,0261324041811847;0,0139372822299652;0
"16";-99;-99;0,118466898954704;0,10801393728223;0,0331010452961672;0,0400696864111498;0,0818815331010453;0,0139372822299652;0,00522648083623693;-99;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0,0592334494773519;0,0261324041811847;0,0139372822299652;0,00696864111498258;0
"17";-99;0,118466898954704;0,10801393728223;0,0331010452961672;0,0400696864111498;0,0818815331010453;0,0139372822299652;0,00522648083623693;0,00348432055749129;-99;0,123693379790941;0,0696864111498258;0,0836236933797909;0,0592334494773519;0,0261324041811847;0,0139372822299652;0,00696864111498258;0,00348432055749129;0
"18";-99;-99;-99;-99;-99;-99;-99;-99;0,178423236514523;-99;-99;-99;-99;-99;-99;-99;-99;0,221300138312586;0
"19";-99;-99;-99;-99;-99;-99;-99;0,178423236514523;0,123098201936376;-99;-99;-99;-99;-99;-99;-99;0,221300138312586;0,118948824343015;0
"20";-99;-99;-99;-99;-99;-99;0,178423236514523;0,123098201936376;0,149377593360996;-99;-99;-99;-99;-99;-99;0,221300138312586;0,118948824343015;0,0719225449515906;0
"21";-99;-99;-99;-99;-99;0,178423236514523;0,123098201936376;0,149377593360996;0,0871369294605809;-99;-99;-99;-99;-99;0,221300138312586;0,118948824343015;0,0719225449515906;0,033195020746888;0
"22";-99;-99;-99;-99;0,178423236514523;0,123098201936376;0,149377593360996;0,0871369294605809;0,00829875518672199;-99;-99;-99;-99;0,221300138312586;0,118948824343015;0,0719225449515906;0,033195020746888;0,016597510373444;0
"23";-99;-99;-99;0,178423236514523;0,123098201936376;0,149377593360996;0,0871369294605809;0,00829875518672199;0,00691562932226833;-99;-99;-99;0,221300138312586;0,118948824343015;0,0719225449515906;0,033195020746888;0,016597510373444;0,00829875518672199;0
"24";-99;-99;0,178423236514523;0,123098201936376;0,149377593360996;0,0871369294605809;0,00829875518672199;0,00691562932226833;0,004149377593361;-99;-99;0,221300138312586;0,118948824343015;0,0719225449515906;0,033195020746888;0,016597510373444;0,00829875518672199;0,00276625172890733;0
"25";-99;-99;-99;-99;-99;-99;-99;-99;0,344015080113101;-99;-99;-99;-99;-99;-99;-99;-99;0,341187558906692;0
"26";-99;-99;-99;-99;-99;-99;-99;0,344015080113101;0,161168708765316;-99;-99;-99;-99;-99;-99;-99;0,341187558906692;0,0904806786050895;0
"27";-99;-99;-99;-99;-99;-99;0,344015080113101;0,161168708765316;0,0358152686145146;-99;-99;-99;-99;-99;-99;0,341187558906692;0,0904806786050895;0,20923656927427;0
"28";-99;-99;-99;-99;-99;0,344015080113101;0,161168708765316;0,0358152686145146;0,0961357210179076;-99;-99;-99;-99;-99;0,341187558906692;0,0904806786050895;0,20923656927427;0,107445805843544;0
"29";-99;-99;-99;-99;0,344015080113101;0,161168708765316;0,0358152686145146;0,0961357210179076;0,0150801131008483;-99;-99;-99;-99;0,341187558906692;0,0904806786050895;0,20923656927427;0,107445805843544;0,0951932139491046;0
"30";-99;-99;-99;0,344015080113101;0,161168708765316;0,0358152686145146;0,0961357210179076;0,0150801131008483;0,0669180018850141;-99;-99;-99;0,341187558906692;0,0904806786050895;0,20923656927427;0,107445805843544;0,0951932139491046;0,0490103675777568;0
"31";-99;-99;-99;-99;-99;-99;-99;-99;0,120999219359875;-99;-99;-99;-99;-99;-99;-99;-99;0,316939890710383;0
"32";-99;-99;-99;-99;-99;-99;-99;0,120999219359875;0,0554254488680718;-99;-99;-99;-99;-99;-99;-99;0,316939890710383;0,343481654957065;0
"33";-99;-99;-99;-99;-99;-99;0,120999219359875;0,0554254488680718;0,0655737704918033;-99;-99;-99;-99;-99;-99;0,316939890710383;0,343481654957065;0,225604996096799;0
"34";-99;-99;-99;-99;-99;0,120999219359875;0,0554254488680718;0,0655737704918033;0,187353629976581;-99;-99;-99;-99;-99;0,316939890710383;0,343481654957065;0,225604996096799;0,127244340359094;0
"35";-99;-99;-99;-99;0,120999219359875;0,0554254488680718;0,0655737704918033;0,187353629976581;0,0304449648711944;-99;-99;-99;-99;0,316939890710383;0,343481654957065;0,225604996096799;0,127244340359094;0,0702576112412178;0
"36";-99;-99;-99;-99;-99;-99;-99;-99;0,130653266331658;-99;-99;-99;-99;-99;-99;-99;-99;0,458722182340273;0
"37";-99;-99;-99;-99;-99;-99;-99;0,130653266331658;0,109834888729361;-99;-99;-99;-99;-99;-99;-99;0,458722182340273;0,285714285714286;0
"38";-99;-99;-99;-99;-99;-99;0,130653266331658;0,109834888729361;0,194544149318019;-99;-99;-99;-99;-99;-99;0,458722182340273;0,285714285714286;0,252692031586504;0
"39";-99;-99;-99;-99;-99;0,130653266331658;0,109834888729361;0,194544149318019;0,142139267767408;-99;-99;-99;-99;-99;0,458722182340273;0,285714285714286;0,252692031586504;0,106245513280689;0
"40";-99;-99;-99;-99;-99;-99;-99;-99;0,145390070921986;-99;-99;-99;-99;-99;-99;-99;-99;0,359338061465721;0
"41";-99;-99;-99;-99;-99;-99;-99;0,145390070921986;0,109338061465721;-99;-99;-99;-99;-99;-99;-99;0,359338061465721;0,453309692671395;0
"42";-99;-99;-99;-99;-99;-99;0,145390070921986;0,109338061465721;0,156028368794326;-99;-99;-99;-99;-99;-99;0,359338061465721;0,453309692671395;0,323286052009456;0
"43";-99;-99;-99;-99;-99;-99;-99;-99;0,164843180160467;-99;-99;-99;-99;-99;-99;-99;-99;0,49671772428884;0
"44";-99;-99;-99;-99;-99;-99;-99;0,164843180160467;0,0991976659372721;-99;-99;-99;-99;-99;-99;-99;0,49671772428884;0,0860685630926331;0
"45";-99;-99;-99;-99;-99;-99;-99;-99;0,127941176470588;-99;-99;-99;-99;-99;-99;-99;-99;0,252941176470588;0
"46";-99;-99;-99;-99;-99;-99;-99;-99;0,250425894378194;-99;-99;-99;-99;-99;-99;-99;-99;0,649063032367973;1
"47";-99;-99;-99;-99;-99;-99;-99;0,250425894378194;0,231686541737649;-99;-99;-99;-99;-99;-99;-99;0,649063032367973;0,194207836456559;1
"48";-99;-99;-99;-99;-99;-99;0,250425894378194;0,231686541737649;0,144804088586031;-99;-99;-99;-99;-99;-99;0,649063032367973;0,194207836456559;0,156729131175468;1
"49";-99;-99;-99;-99;-99;0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;-99;-99;-99;-99;-99;0,649063032367973;0,194207836456559;0,156729131175468;0;1
"50";-99;-99;-99;-99;0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;-99;-99;-99;-99;0,649063032367973;0,194207836456559;0,156729131175468;0;0;1
"51";-99;-99;-99;0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;0;-99;-99;-99;0,649063032367973;0,194207836456559;0,156729131175468;0;0;0;1
"52";-99;-99;0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;0;0;-99;-99;0,649063032367973;0,194207836456559;0,156729131175468;0;0;0;0;1
"53";-99;0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;0;0;0;-99;0,649063032367973;0,194207836456559;0,156729131175468;0;0;0;0;0;1
"54";0,250425894378194;0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;0;0;0;0;0,649063032367973;0,194207836456559;0,156729131175468;0;0;0;0;0;0;1
"55";-99;-99;-99;-99;-99;-99;-99;-99;0,333951762523191;-99;-99;-99;-99;-99;-99;-99;-99;0,556586270871985;1
"56";-99;-99;-99;-99;-99;-99;-99;0,333951762523191;0,499072356215213;-99;-99;-99;-99;-99;-99;-99;0,556586270871985;0,218923933209648;1
"57";-99;-99;-99;-99;-99;-99;0,333951762523191;0,499072356215213;0,0834879406307978;-99;-99;-99;-99;-99;-99;0,556586270871985;0,218923933209648;0,120593692022263;1
"58";-99;-99;-99;-99;-99;0,333951762523191;0,499072356215213;0,0834879406307978;0,0964749536178108;-99;-99;-99;-99;-99;0,556586270871985;0,218923933209648;0,120593692022263;0,0834879406307978;1
"59";-99;-99;-99;-99;0,333951762523191;0,499072356215213;0,0834879406307978;0,0964749536178108;0,0890538033395176;-99;-99;-99;-99;0,556586270871985;0,218923933209648;0,120593692022263;0,0834879406307978;-0,0185528756957328;1
"60";-99;-99;-99;0,333951762523191;0,499072356215213;0,0834879406307978;0,0964749536178108;0,0890538033395176;-0,0538033395176252;-99;-99;-99;0,556586270871985;0,218923933209648;0,120593692022263;0,0834879406307978;-0,0185528756957328;0,012987012987013;1
"61";-99;-99;0,333951762523191;0,499072356215213;0,0834879406307978;0,0964749536178108;0,0890538033395176;-0,0538033395176252;0;-99;-99;0,556586270871985;0,218923933209648;0,120593692022263;0,0834879406307978;-0,0185528756957328;0,012987012987013;0;1
"62";-99;0,333951762523191;0,499072356215213;0,0834879406307978;0,0964749536178108;0,0890538033395176;-0,0538033395176252;0;0;-99;0,556586270871985;0,218923933209648;0,120593692022263;0,0834879406307978;-0,0185528756957328;0,012987012987013;0;0;1
"63";-99;-99;-99;-99;-99;-99;-99;-99;0,232722143864598;-99;-99;-99;-99;-99;-99;-99;-99;0,291960507757405;1
"64";-99;-99;-99;-99;-99;-99;-99;0,232722143864598;0,153737658674189;-99;-99;-99;-99;-99;-99;-99;0,291960507757405;0,07475317348378;1
"65";-99;-99;-99;-99;-99;-99;0,232722143864598;0,153737658674189;0,0832157968970381;-99;-99;-99;-99;-99;-99;0,291960507757405;0,07475317348378;0,0677009873060649;1
"66";-99;-99;-99;-99;-99;0,232722143864598;0,153737658674189;0,0832157968970381;0,0141043723554302;-99;-99;-99;-99;-99;0,291960507757405;0,07475317348378;0,0677009873060649;0,0267983074753173;1
"67";-99;-99;-99;-99;0,232722143864598;0,153737658674189;0,0832157968970381;0,0141043723554302;0,0141043723554302;-99;-99;-99;-99;0,291960507757405;0,07475317348378;0,0677009873060649;0,0267983074753173;0,00987306064880113;1
"68";-99;-99;-99;0,232722143864598;0,153737658674189;0,0832157968970381;0,0141043723554302;0,0141043723554302;0;-99;-99;-99;0,291960507757405;0,07475317348378;0,0677009873060649;0,0267983074753173;0,00987306064880113;0,00141043723554302;1
"69";-99;-99;0,232722143864598;0,153737658674189;0,0832157968970381;0,0141043723554302;0,0141043723554302;0;0;-99;-99;0,291960507757405;0,07475317348378;0,0677009873060649;0,0267983074753173;0,00987306064880113;0,00141043723554302;0;1
"70";-99;-99;-99;-99;-99;-99;-99;-99;0,450726978998384;-99;-99;-99;-99;-99;-99;-99;-99;0,655896607431341;1
"71";-99;-99;-99;-99;-99;-99;-99;0,450726978998384;0,387722132471729;-99;-99;-99;-99;-99;-99;-99;0,655896607431341;0,227786752827141;1
"72";-99;-99;-99;-99;-99;-99;0,450726978998384;0,387722132471729;0,119547657512116;-99;-99;-99;-99;-99;-99;0,655896607431341;0,227786752827141;0,159935379644588;1
"73";-99;-99;-99;-99;-99;0,450726978998384;0,387722132471729;0,119547657512116;0,11470113085622;-99;-99;-99;-99;-99;0,655896607431341;0,227786752827141;0,159935379644588;0,111470113085622;1
"74";-99;-99;-99;-99;0,450726978998384;0,387722132471729;0,119547657512116;0,11470113085622;0,117932148626817;-99;-99;-99;-99;0,655896607431341;0,227786752827141;0,159935379644588;0,111470113085622;0,158319870759289;1
"75";-99;-99;-99;0,450726978998384;0,387722132471729;0,119547657512116;0,11470113085622;0,117932148626817;0,0936995153473344;-99;-99;-99;0,655896607431341;0,227786752827141;0,159935379644588;0,111470113085622;0,158319870759289;0,0823909531502423;1
"76";-99;-99;-99;-99;-99;-99;-99;-99;0,197575757575758;-99;-99;-99;-99;-99;-99;-99;-99;0,40969696969697;1
"77";-99;-99;-99;-99;-99;-99;-99;0,197575757575758;0,173333333333333;-99;-99;-99;-99;-99;-99;-99;0,40969696969697;0,255757575757576;1
"78";-99;-99;-99;-99;-99;-99;0,197575757575758;0,173333333333333;0,181818181818182;-99;-99;-99;-99;-99;-99;0,40969696969697;0,255757575757576;0,0993939393939394;1
"79";-99;-99;-99;-99;-99;0,197575757575758;0,173333333333333;0,181818181818182;0,0703030303030303;-99;-99;-99;-99;-99;0,40969696969697;0,255757575757576;0,0993939393939394;0,00606060606060606;1
"80";-99;-99;-99;-99;0,197575757575758;0,173333333333333;0,181818181818182;0,0703030303030303;0,00484848484848485;-99;-99;-99;-99;0,40969696969697;0,255757575757576;0,0993939393939394;0,00606060606060606;0;1
"81";-99;-99;-99;-99;-99;-99;-99;-99;0,198412698412698;-99;-99;-99;-99;-99;-99;-99;-99;0,203373015873016;1
"82";-99;-99;-99;-99;-99;-99;-99;0,198412698412698;0,114087301587302;-99;-99;-99;-99;-99;-99;-99;0,203373015873016;0,124007936507937;1
"83";-99;-99;-99;-99;-99;-99;0,198412698412698;0,114087301587302;0,0654761904761905;-99;-99;-99;-99;-99;-99;0,203373015873016;0,124007936507937;0,109126984126984;1
"84";-99;-99;-99;-99;-99;0,198412698412698;0,114087301587302;0,0654761904761905;0,0466269841269841;-99;-99;-99;-99;-99;0,203373015873016;0,124007936507937;0,109126984126984;0,0436507936507936;1
"85";-99;-99;-99;-99;-99;-99;-99;-99;0,17910447761194;-99;-99;-99;-99;-99;-99;-99;-99;0,300263388937665;1
"86";-99;-99;-99;-99;-99;-99;-99;0,17910447761194;0,116769095697981;-99;-99;-99;-99;-99;-99;-99;0,300263388937665;0,304653204565408;1
"87";-99;-99;-99;-99;-99;-99;0,17910447761194;0,116769095697981;0,154521510096576;-99;-99;-99;-99;-99;-99;0,300263388937665;0,304653204565408;0,205443371378402;1
"88";-99;-99;-99;-99;-99;-99;-99;-99;0,275379229871645;-99;-99;-99;-99;-99;-99;-99;-99;0,422403733955659;1
"89";-99;-99;-99;-99;-99;-99;-99;0,275379229871645;0,274212368728121;-99;-99;-99;-99;-99;-99;-99;0,422403733955659;0,228704784130688;1
"90";-99;-99;-99;-99;-99;-99;-99;-99;0,248397435897436;-99;-99;-99;-99;-99;-99;-99;-99;0,328525641025641;1
"91";-99;-99;-99;-99;-99;-99;-99;-99;0,207720948461689;-99;-99;-99;-99;-99;-99;-99;-99;0,985694689398393;4
