"";"paid_output.1";"paid_output.2";"paid_output.3";"paid_output.4";"paid_output.5";"paid_output.6";"paid_output.7";"paid_output.8";"paid_output.9";"case_reserves_output.1";"case_reserves_output.2";"case_reserves_output.3";"case_reserves_output.4";"case_reserves_output.5";"case_reserves_output.6";"case_reserves_output.7";"case_reserves_output.8";"case_reserves_output.9"
"1";0,0508646998982706;0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0;0,0295015259409969;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014
"2";0,0203458799593082;0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0;-99;0,0213631739572737;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99
"3";0,0142421159715158;0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0;-99;-99;0,0162767039674466;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99;-99
"4";0,0111902339776195;0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0;-99;-99;-99;0,0142421159715158;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99;-99;-99
"5";0,0081383519837233;0,00508646998982706;0,00101729399796541;0,00305188199389624;0;-99;-99;-99;-99;0,0376398779247202;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99;-99;-99;-99
"6";0,00508646998982706;0,00101729399796541;0,00305188199389624;0;-99;-99;-99;-99;-99;0,0335707019328586;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99;-99;-99;-99;-99
"7";0,00101729399796541;0,00305188199389624;0;-99;-99;-99;-99;-99;-99;0,0295015259409969;0,0305188199389624;0,0528992878942014;-99;-99;-99;-99;-99;-99
"8";0,00305188199389624;0;-99;-99;-99;-99;-99;-99;-99;0,0305188199389624;0,0528992878942014;-99;-99;-99;-99;-99;-99;-99
"9";0;-99;-99;-99;-99;-99;-99;-99;-99;0,0528992878942014;-99;-99;-99;-99;-99;-99;-99;-99
"10";0,10801393728223;0,0331010452961672;0,0400696864111498;0,0818815331010453;0,0139372822299652;0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;0,0696864111498258;0,0836236933797909;0,0592334494773519;0,0261324041811847;0,0139372822299652;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99
"11";0,0331010452961672;0,0400696864111498;0,0818815331010453;0,0139372822299652;0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;-99;0,0836236933797909;0,0592334494773519;0,0261324041811847;0,0139372822299652;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99;-99
"12";0,0400696864111498;0,0818815331010453;0,0139372822299652;0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;-99;-99;0,0592334494773519;0,0261324041811847;0,0139372822299652;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99;-99;-99
"13";0,0818815331010453;0,0139372822299652;0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;0,0261324041811847;0,0139372822299652;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99
"14";0,0139372822299652;0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99;0,0139372822299652;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99
"15";0,00522648083623693;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99;-99;0,00696864111498258;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99;-99
"16";0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99;-99;-99;0,00348432055749129;0,00174216027874564;-99;-99;-99;-99;-99;-99;-99
"17";0,00174216027874564;-99;-99;-99;-99;-99;-99;-99;-99;0,00174216027874564;-99;-99;-99;-99;-99;-99;-99;-99
"18";0,123098201936376;0,149377593360996;0,0871369294605809;0,00829875518672199;0,00691562932226833;0,004149377593361;0,00276625172890733;-99;-99;0,118948824343015;0,0719225449515906;0,033195020746888;0,016597510373444;0,00829875518672199;0,00276625172890733;0,00138312586445367;-99;-99
"19";0,149377593360996;0,0871369294605809;0,00829875518672199;0,00691562932226833;0,004149377593361;0,00276625172890733;-99;-99;-99;0,0719225449515906;0,033195020746888;0,016597510373444;0,00829875518672199;0,00276625172890733;0,00138312586445367;-99;-99;-99
"20";0,0871369294605809;0,00829875518672199;0,00691562932226833;0,004149377593361;0,00276625172890733;-99;-99;-99;-99;0,033195020746888;0,016597510373444;0,00829875518672199;0,00276625172890733;0,00138312586445367;-99;-99;-99;-99
"21";0,00829875518672199;0,00691562932226833;0,004149377593361;0,00276625172890733;-99;-99;-99;-99;-99;0,016597510373444;0,00829875518672199;0,00276625172890733;0,00138312586445367;-99;-99;-99;-99;-99
"22";0,00691562932226833;0,004149377593361;0,00276625172890733;-99;-99;-99;-99;-99;-99;0,00829875518672199;0,00276625172890733;0,00138312586445367;-99;-99;-99;-99;-99;-99
"23";0,004149377593361;0,00276625172890733;-99;-99;-99;-99;-99;-99;-99;0,00276625172890733;0,00138312586445367;-99;-99;-99;-99;-99;-99;-99
"24";0,00276625172890733;-99;-99;-99;-99;-99;-99;-99;-99;0,00138312586445367;-99;-99;-99;-99;-99;-99;-99;-99
"25";0,161168708765316;0,0358152686145146;0,0961357210179076;0,0150801131008483;0,0669180018850141;0,0254476908576814;-99;-99;-99;0,0904806786050895;0,20923656927427;0,107445805843544;0,0951932139491046;0,0490103675777568;0,00282752120640905;-99;-99;-99
"26";0,0358152686145146;0,0961357210179076;0,0150801131008483;0,0669180018850141;0,0254476908576814;-99;-99;-99;-99;0,20923656927427;0,107445805843544;0,0951932139491046;0,0490103675777568;0,00282752120640905;-99;-99;-99;-99
"27";0,0961357210179076;0,0150801131008483;0,0669180018850141;0,0254476908576814;-99;-99;-99;-99;-99;0,107445805843544;0,0951932139491046;0,0490103675777568;0,00282752120640905;-99;-99;-99;-99;-99
"28";0,0150801131008483;0,0669180018850141;0,0254476908576814;-99;-99;-99;-99;-99;-99;0,0951932139491046;0,0490103675777568;0,00282752120640905;-99;-99;-99;-99;-99;-99
"29";0,0669180018850141;0,0254476908576814;-99;-99;-99;-99;-99;-99;-99;0,0490103675777568;0,00282752120640905;-99;-99;-99;-99;-99;-99;-99
"30";0,0254476908576814;-99;-99;-99;-99;-99;-99;-99;-99;0,00282752120640905;-99;-99;-99;-99;-99;-99;-99;-99
"31";0,0554254488680718;0,0655737704918033;0,187353629976581;0,0304449648711944;0,0265417642466823;-99;-99;-99;-99;0,343481654957065;0,225604996096799;0,127244340359094;0,0702576112412178;0,00468384074941452;-99;-99;-99;-99
"32";0,0655737704918033;0,187353629976581;0,0304449648711944;0,0265417642466823;-99;-99;-99;-99;-99;0,225604996096799;0,127244340359094;0,0702576112412178;0,00468384074941452;-99;-99;-99;-99;-99
"33";0,187353629976581;0,0304449648711944;0,0265417642466823;-99;-99;-99;-99;-99;-99;0,127244340359094;0,0702576112412178;0,00468384074941452;-99;-99;-99;-99;-99;-99
"34";0,0304449648711944;0,0265417642466823;-99;-99;-99;-99;-99;-99;-99;0,0702576112412178;0,00468384074941452;-99;-99;-99;-99;-99;-99;-99
"35";0,0265417642466823;-99;-99;-99;-99;-99;-99;-99;-99;0,00468384074941452;-99;-99;-99;-99;-99;-99;-99;-99
"36";0,109834888729361;0,194544149318019;0,142139267767408;0,0344580043072505;-99;-99;-99;-99;-99;0,285714285714286;0,252692031586504;0,106245513280689;0,0804020100502513;-99;-99;-99;-99;-99
"37";0,194544149318019;0,142139267767408;0,0344580043072505;-99;-99;-99;-99;-99;-99;0,252692031586504;0,106245513280689;0,0804020100502513;-99;-99;-99;-99;-99;-99
"38";0,142139267767408;0,0344580043072505;-99;-99;-99;-99;-99;-99;-99;0,106245513280689;0,0804020100502513;-99;-99;-99;-99;-99;-99;-99
"39";0,0344580043072505;-99;-99;-99;-99;-99;-99;-99;-99;0,0804020100502513;-99;-99;-99;-99;-99;-99;-99;-99
"40";0,109338061465721;0,156028368794326;0,0656028368794326;-99;-99;-99;-99;-99;-99;0,453309692671395;0,323286052009456;0,236997635933806;-99;-99;-99;-99;-99;-99
"41";0,156028368794326;0,0656028368794326;-99;-99;-99;-99;-99;-99;-99;0,323286052009456;0,236997635933806;-99;-99;-99;-99;-99;-99;-99
"42";0,0656028368794326;-99;-99;-99;-99;-99;-99;-99;-99;0,236997635933806;-99;-99;-99;-99;-99;-99;-99;-99
"43";0,0991976659372721;0,0175054704595186;-99;-99;-99;-99;-99;-99;-99;0,0860685630926331;0,0364697301239971;-99;-99;-99;-99;-99;-99;-99
"44";0,0175054704595186;-99;-99;-99;-99;-99;-99;-99;-99;0,0364697301239971;-99;-99;-99;-99;-99;-99;-99;-99
"45";0,0573529411764706;-99;-99;-99;-99;-99;-99;-99;-99;0,286029411764706;-99;-99;-99;-99;-99;-99;-99;-99
"46";0,231686541737649;0,144804088586031;0,112436115843271;0,00170357751277683;0;0;0;0;0;0,194207836456559;0,156729131175468;0;0;0;0;0;0;0
"47";0,144804088586031;0,112436115843271;0,00170357751277683;0;0;0;0;0;-99;0,156729131175468;0;0;0;0;0;0;0;-99
"48";0,112436115843271;0,00170357751277683;0;0;0;0;0;-99;-99;0;0;0;0;0;0;0;-99;-99
"49";0,00170357751277683;0;0;0;0;0;-99;-99;-99;0;0;0;0;0;0;-99;-99;-99
"50";0;0;0;0;0;-99;-99;-99;-99;0;0;0;0;0;-99;-99;-99;-99
"51";0;0;0;0;-99;-99;-99;-99;-99;0;0;0;0;-99;-99;-99;-99;-99
"52";0;0;0;-99;-99;-99;-99;-99;-99;0;0;0;-99;-99;-99;-99;-99;-99
"53";0;0;-99;-99;-99;-99;-99;-99;-99;0;0;-99;-99;-99;-99;-99;-99;-99
"54";0;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99
"55";0,499072356215213;0,0834879406307978;0,0964749536178108;0,0890538033395176;-0,0538033395176252;0;0;0;-99;0,218923933209648;0,120593692022263;0,0834879406307978;-0,0185528756957328;0,012987012987013;0;0;0;-99
"56";0,0834879406307978;0,0964749536178108;0,0890538033395176;-0,0538033395176252;0;0;0;-99;-99;0,120593692022263;0,0834879406307978;-0,0185528756957328;0,012987012987013;0;0;0;-99;-99
"57";0,0964749536178108;0,0890538033395176;-0,0538033395176252;0;0;0;-99;-99;-99;0,0834879406307978;-0,0185528756957328;0,012987012987013;0;0;0;-99;-99;-99
"58";0,0890538033395176;-0,0538033395176252;0;0;0;-99;-99;-99;-99;-0,0185528756957328;0,012987012987013;0;0;0;-99;-99;-99;-99
"59";-0,0538033395176252;0;0;0;-99;-99;-99;-99;-99;0,012987012987013;0;0;0;-99;-99;-99;-99;-99
"60";0;0;0;-99;-99;-99;-99;-99;-99;0;0;0;-99;-99;-99;-99;-99;-99
"61";0;0;-99;-99;-99;-99;-99;-99;-99;0;0;-99;-99;-99;-99;-99;-99;-99
"62";0;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99
"63";0,153737658674189;0,0832157968970381;0,0141043723554302;0,0141043723554302;0;0;0,00705218617771509;-99;-99;0,07475317348378;0,0677009873060649;0,0267983074753173;0,00987306064880113;0,00141043723554302;0;0,0141043723554302;-99;-99
"64";0,0832157968970381;0,0141043723554302;0,0141043723554302;0;0;0,00705218617771509;-99;-99;-99;0,0677009873060649;0,0267983074753173;0,00987306064880113;0,00141043723554302;0;0,0141043723554302;-99;-99;-99
"65";0,0141043723554302;0,0141043723554302;0;0;0,00705218617771509;-99;-99;-99;-99;0,0267983074753173;0,00987306064880113;0,00141043723554302;0;0,0141043723554302;-99;-99;-99;-99
"66";0,0141043723554302;0;0;0,00705218617771509;-99;-99;-99;-99;-99;0,00987306064880113;0,00141043723554302;0;0,0141043723554302;-99;-99;-99;-99;-99
"67";0;0;0,00705218617771509;-99;-99;-99;-99;-99;-99;0,00141043723554302;0;0,0141043723554302;-99;-99;-99;-99;-99;-99
"68";0;0,00705218617771509;-99;-99;-99;-99;-99;-99;-99;0;0,0141043723554302;-99;-99;-99;-99;-99;-99;-99
"69";0,00705218617771509;-99;-99;-99;-99;-99;-99;-99;-99;0,0141043723554302;-99;-99;-99;-99;-99;-99;-99;-99
"70";0,387722132471729;0,119547657512116;0,11470113085622;0,117932148626817;0,0936995153473344;0;-99;-99;-99;0,227786752827141;0,159935379644588;0,111470113085622;0,158319870759289;0,0823909531502423;0,0823909531502423;-99;-99;-99
"71";0,119547657512116;0,11470113085622;0,117932148626817;0,0936995153473344;0;-99;-99;-99;-99;0,159935379644588;0,111470113085622;0,158319870759289;0,0823909531502423;0,0823909531502423;-99;-99;-99;-99
"72";0,11470113085622;0,117932148626817;0,0936995153473344;0;-99;-99;-99;-99;-99;0,111470113085622;0,158319870759289;0,0823909531502423;0,0823909531502423;-99;-99;-99;-99;-99
"73";0,117932148626817;0,0936995153473344;0;-99;-99;-99;-99;-99;-99;0,158319870759289;0,0823909531502423;0,0823909531502423;-99;-99;-99;-99;-99;-99
"74";0,0936995153473344;0;-99;-99;-99;-99;-99;-99;-99;0,0823909531502423;0,0823909531502423;-99;-99;-99;-99;-99;-99;-99
"75";0;-99;-99;-99;-99;-99;-99;-99;-99;0,0823909531502423;-99;-99;-99;-99;-99;-99;-99;-99
"76";0,173333333333333;0,181818181818182;0,0703030303030303;0,00484848484848485;0;-99;-99;-99;-99;0,255757575757576;0,0993939393939394;0,00606060606060606;0;0;-99;-99;-99;-99
"77";0,181818181818182;0,0703030303030303;0,00484848484848485;0;-99;-99;-99;-99;-99;0,0993939393939394;0,00606060606060606;0;0;-99;-99;-99;-99;-99
"78";0,0703030303030303;0,00484848484848485;0;-99;-99;-99;-99;-99;-99;0,00606060606060606;0;0;-99;-99;-99;-99;-99;-99
"79";0,00484848484848485;0;-99;-99;-99;-99;-99;-99;-99;0;0;-99;-99;-99;-99;-99;-99;-99
"80";0;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-99;-99;-99;-99;-99;-99
"81";0,114087301587302;0,0654761904761905;0,0466269841269841;0;-99;-99;-99;-99;-99;0,124007936507937;0,109126984126984;0,0436507936507936;0,0396825396825397;-99;-99;-99;-99;-99
"82";0,0654761904761905;0,0466269841269841;0;-99;-99;-99;-99;-99;-99;0,109126984126984;0,0436507936507936;0,0396825396825397;-99;-99;-99;-99;-99;-99
"83";0,0466269841269841;0;-99;-99;-99;-99;-99;-99;-99;0,0436507936507936;0,0396825396825397;-99;-99;-99;-99;-99;-99;-99
"84";0;-99;-99;-99;-99;-99;-99;-99;-99;0,0396825396825397;-99;-99;-99;-99;-99;-99;-99;-99
"85";0,116769095697981;0,154521510096576;0,0746268656716418;-99;-99;-99;-99;-99;-99;0,304653204565408;0,205443371378402;0,140474100087796;-99;-99;-99;-99;-99;-99
"86";0,154521510096576;0,0746268656716418;-99;-99;-99;-99;-99;-99;-99;0,205443371378402;0,140474100087796;-99;-99;-99;-99;-99;-99;-99
"87";0,0746268656716418;-99;-99;-99;-99;-99;-99;-99;-99;0,140474100087796;-99;-99;-99;-99;-99;-99;-99;-99
"88";0,274212368728121;0,0630105017502917;-99;-99;-99;-99;-99;-99;-99;0,228704784130688;0,249708284714119;-99;-99;-99;-99;-99;-99;-99
"89";0,0630105017502917;-99;-99;-99;-99;-99;-99;-99;-99;0,249708284714119;-99;-99;-99;-99;-99;-99;-99;-99
"90";0,0480769230769231;-99;-99;-99;-99;-99;-99;-99;-99;0,192307692307692;-99;-99;-99;-99;-99;-99;-99;-99
